,current_day,clound_min,clound_max,clound_std,clound_median
35,2019-2-5,1.0,4.0,1.4668044012461754,4.0
36,2019-2-6,1.0,4.0,1.5447859516333116,1.0
37,2019-2-7,1.0,4.0,1.3113721705515067,2.0
38,2019-2-8,1.0,4.0,1.4354811251305468,3.0
39,2019-2-9,1.0,4.0,1.381698559415515,2.0
40,2019-2-10,1.0,4.0,0.834847109936722,2.0
41,2019-2-11,1.0,4.0,1.2401124093721456,2.0
42,2019-2-12,1.0,4.0,1.2792042981336627,4.0
43,2019-2-13,1.0,4.0,1.3568010505999362,4.0
44,2019-2-14,1.0,4.0,0.8660254037844386,4.0
45,2019-2-15,1.0,4.0,0.8660254037844386,4.0
46,2019-2-16,4.0,4.0,0.0,4.0
47,2019-2-17,1.0,4.0,0.8660254037844386,4.0
48,2019-2-18,1.0,4.0,1.378954368902449,4.0
49,2019-2-19,1.0,4.0,1.348399724926484,1.0
50,2019-2-20,1.0,4.0,1.5447859516333116,4.0
51,2019-2-21,1.0,4.0,1.4770978917519928,4.0
52,2019-2-22,1.0,4.0,1.5050420310248867,3.0
53,2019-2-23,4.0,4.0,0.0,4.0
54,2019-2-24,1.0,4.0,0.8660254037844386,4.0
55,2019-2-25,4.0,4.0,0.0,4.0
56,2019-2-26,4.0,4.0,0.0,4.0
57,2019-2-27,4.0,4.0,0.0,4.0
58,2019-2-28,1.0,4.0,1.4433756729740645,2.0
59,2019-3-1,1.0,4.0,1.2792042981336627,1.5
60,2019-3-2,1.0,4.0,1.337115846843043,1.0
61,2019-3-3,1.0,4.0,1.497472618255253,1.5
62,2019-3-4,1.0,4.0,1.1934162828797101,2.0
63,2019-3-5,1.0,4.0,1.3568010505999362,3.0
64,2019-3-6,1.0,4.0,1.2401124093721456,2.0
65,2019-3-7,1.0,4.0,1.1381803659589922,2.0
66,2019-3-8,1.0,4.0,1.3568010505999362,3.0
67,2019-3-9,1.0,4.0,1.3113721705515065,1.0
68,2019-3-10,1.0,4.0,1.1381803659589922,2.0
69,2019-3-11,1.0,4.0,1.1934162828797101,3.0
70,2019-3-12,1.0,4.0,1.1677484162422844,4.0
71,2019-3-13,1.0,4.0,1.087114613009218,2.0
72,2019-3-14,1.0,4.0,1.0730867399773196,2.0
73,2019-3-15,1.0,4.0,1.2792042981336627,1.5
74,2019-3-16,1.0,4.0,1.497472618255253,1.5
75,2019-3-17,1.0,4.0,1.3568010505999362,2.0
76,2019-3-18,1.0,4.0,1.2309149097933272,2.0
77,2019-3-19,1.0,4.0,1.3568010505999362,4.0
78,2019-3-20,1.0,4.0,0.9962049198956219,4.0
79,2019-3-21,1.0,4.0,1.1677484162422844,4.0
80,2019-3-22,1.0,4.0,1.1677484162422844,4.0
81,2019-3-23,1.0,4.0,1.3568010505999362,4.0
82,2019-3-24,1.0,4.0,1.4668044012461754,4.0
83,2019-3-25,1.0,4.0,1.2309149097933274,4.0
84,2019-3-26,1.0,4.0,1.0836246694508318,4.0
85,2019-3-27,1.0,4.0,0.9962049198956219,4.0
86,2019-3-28,1.0,4.0,1.1677484162422844,4.0
87,2019-3-29,4.0,4.0,0.0,4.0
88,2019-3-30,4.0,4.0,0.0,4.0
89,2019-3-31,1.0,4.0,0.8660254037844386,4.0
90,2019-4-1,4.0,4.0,0.0,4.0
91,2019-4-2,1.0,4.0,1.300349603340998,4.0
92,2019-4-3,1.0,4.0,0.8312094145936334,2.0
93,2019-4-4,2.0,4.0,1.009049958219026,4.0
94,2019-4-5,1.0,4.0,1.4012980994907414,4.0
95,2019-4-6,1.0,4.0,1.300349603340998,2.0
96,2019-4-7,1.0,4.0,1.4142135623730951,4.0
97,2019-4-8,1.0,4.0,1.4012980994907414,4.0
98,2019-4-9,1.0,4.0,1.2649110640673518,4.0
99,2019-4-10,1.0,4.0,1.4333685689819815,3.0
100,2019-4-11,1.0,4.0,1.4142135623730951,4.0
101,2019-4-12,1.0,4.0,0.9045340337332909,4.0
102,2019-4-13,1.0,4.0,1.1200649331826502,4.0
103,2019-4-14,1.0,4.0,1.300349603340998,4.0
104,2019-4-15,4.0,4.0,0.0,4.0
105,2019-4-16,1.0,4.0,1.12006493318265,2.0
106,2019-4-17,1.0,4.0,1.513574937328539,4.0
107,2019-4-18,4.0,4.0,0.0,4.0
108,2019-4-19,4.0,4.0,0.0,4.0
109,2019-4-20,4.0,4.0,0.0,4.0
110,2019-4-21,1.0,4.0,1.0357254813546264,4.0
111,2019-4-22,4.0,4.0,0.0,4.0
112,2019-4-23,1.0,4.0,1.4893561757289013,4.0
113,2019-4-24,1.0,4.0,1.3618169680781096,2.0
114,2019-4-25,1.0,4.0,1.1908743922772957,2.0
115,2019-4-26,1.0,4.0,1.1361818036340359,3.0
116,2019-4-27,1.0,4.0,1.3618169680781096,2.0
117,2019-4-28,1.0,4.0,1.2933395813657265,2.0
118,2019-4-29,1.0,4.0,1.4142135623730951,4.0
119,2019-4-30,1.0,4.0,1.4012980994907414,4.0
120,2019-5-1,1.0,4.0,1.1677484162422844,4.0
121,2019-5-2,1.0,4.0,1.378954368902449,2.5
122,2019-5-3,1.0,4.0,1.378954368902449,2.5
123,2019-5-4,2.0,4.0,0.9847319278346619,2.0
124,2019-5-5,2.0,4.0,0.9962049198956218,3.5
125,2019-5-6,2.0,4.0,0.5773502691896257,4.0
126,2019-5-7,4.0,4.0,0.0,4.0
127,2019-5-8,1.0,4.0,0.8660254037844386,2.0
128,2019-5-9,1.0,4.0,1.0836246694508318,2.0
129,2019-5-10,0.0,4.0,1.5569978883230462,2.0
130,2019-5-11,1.0,4.0,1.0730867399773196,2.0
131,2019-5-12,2.0,4.0,0.778498944161523,4.0
132,2019-5-13,4.0,4.0,0.0,4.0
133,2019-5-14,4.0,4.0,0.0,4.0
134,2019-5-15,1.0,4.0,0.8660254037844386,4.0
135,2019-5-16,4.0,4.0,0.0,4.0
136,2019-5-17,1.0,4.0,1.4354811251305468,3.0
137,2019-5-18,1.0,4.0,1.2309149097933272,2.0
138,2019-5-19,1.0,4.0,1.2792042981336627,1.5
139,2019-5-20,1.0,4.0,1.2401124093721456,2.0
140,2019-5-21,1.0,4.0,1.3568010505999362,3.0
141,2019-5-22,1.0,4.0,0.8660254037844386,4.0
142,2019-5-23,1.0,4.0,0.8660254037844386,4.0
143,2019-5-24,1.0,4.0,0.9962049198956219,4.0
144,2019-5-25,1.0,4.0,1.2792042981336627,4.0
145,2019-5-26,1.0,4.0,1.5050420310248864,3.0
146,2019-5-27,1.0,4.0,1.2154310870109943,2.0
147,2019-5-28,2.0,4.0,1.0298573010888745,4.0
148,2019-5-29,1.0,4.0,1.2673044646258473,4.0
149,2019-5-30,1.0,4.0,1.378954368902449,4.0
150,2019-5-31,1.0,4.0,1.2309149097933272,4.0
151,2019-6-1,4.0,4.0,0.0,4.0
152,2019-6-2,4.0,4.0,0.0,4.0
153,2019-6-3,1.0,4.0,1.2309149097933272,4.0
154,2019-6-4,1.0,4.0,1.2309149097933274,4.0
155,2019-6-5,1.0,4.0,1.1645001528813148,4.0
156,2019-6-6,1.0,4.0,1.2673044646258476,4.0
157,2019-6-7,1.0,4.0,1.1381803659589922,4.0
158,2019-6-8,1.0,4.0,1.1381803659589922,4.0
159,2019-6-9,1.0,4.0,0.9962049198956219,4.0
160,2019-6-10,1.0,4.0,1.0730867399773196,2.0
