,current_day,cloud,temp_max,temp_min
310,2019-11-7,cloudy,11°,5°
311,2019-11-8,scattered showers,8°,4°
312,2019-11-9,mostly sunny,10°,1°
313,2019-11-10,foggy,3°,-2°
314,2019-11-11,foggy,6°,2°
315,2019-11-12,cloudy,9°,3°
316,2019-11-13,cloudy,7°,0°
317,2019-11-14,mostly sunny,8°,0°
318,2019-11-15,cloudy,8°,2°
319,2019-11-16,foggy,9°,-2°
320,2019-11-17,foggy,5°,-1°
321,2019-11-18,cloudy,5°,3°
322,2019-11-19,cloudy,7°,0°
323,2019-11-20,foggy,3°,-1°
324,2019-11-21,foggy,4°,1°
325,2019-11-22,foggy,8°,2°
326,2019-11-23,mostly sunny,7°,2°
327,2019-11-24,foggy,8°,0°
328,2019-11-25,foggy,10°,3°
329,2019-11-26,foggy,14°,4°
330,2019-11-27,cloudy,15°,6°
331,2019-11-28,cloudy,12°,8°
332,2019-11-29,cloudy,10°,2°
333,2019-11-30,mostly sunny,8°,0°
334,2019-12-1,cloudy,4°,0°
335,2019-12-2,mostly sunny,6°,-1°
336,2019-12-3,mostly sunny,7°,-3°
337,2019-12-4,foggy,6°,-3°
338,2019-12-5,foggy,-1°,-4°
339,2019-12-6,foggy,9°,-4°
340,2019-12-7,cloudy,10°,7°
341,2019-12-8,cloudy,12°,7°
342,2019-12-9,cloudy,9°,7°
343,2019-12-10,mostly sunny,7°,-1°
344,2019-12-11,scattered showers,4°,-1°
345,2019-12-12,mostly cloudy,7°,0°
346,2019-12-13,scattered showers,8°,1°
347,2019-12-14,cloudy,11°,5°
348,2019-12-15,cloudy,14°,9°
349,2019-12-16,mostly sunny,13°,6°
350,2019-12-17,mostly sunny,12°,4°
351,2019-12-18,mostly sunny,13°,4°
352,2019-12-19,foggy,7°,5°
353,2019-12-20,foggy,9°,4°
354,2019-12-21,foggy,10°,0°
355,2019-12-22,cloudy,10°,5°
356,2019-12-23,cloudy,10°,6°
357,2019-12-24,cloudy,12°,6°
358,2019-12-25,cloudy,10°,5°
359,2019-12-26,foggy,5°,-1°
360,2019-12-27,cloudy,9°,5°
361,2019-12-28,mostly sunny,6°,0°
362,2019-12-29,foggy,0°,-3°
363,2019-12-30,foggy,-1°,-3°
364,2019-12-31,foggy,2°,-3°
365,2020-1-1,foggy,-1°,-3°
366,2020-1-2,foggy,0°,-1°
367,2020-1-3,cloudy,10°,0°
368,2020-1-4,cloudy,8°,4°
369,2020-1-5,cloudy,7°,-1°
370,2020-1-6,foggy,2°,-2°
371,2020-1-7,cloudy,9°,-1°
372,2020-1-8,cloudy,8°,-2°
373,2020-1-9,cloudy,14°,7°
374,2020-1-10,cloudy,11°,6°
375,2020-1-11,cloudy,9°,0°
376,2020-1-12,cloudy,6°,-3°
377,2020-1-13,cloudy,9°,3°
378,2020-1-14,mostly sunny,11°,4°
379,2020-1-15,mostly sunny,14°,6°
380,2020-1-16,mostly sunny,16°,3°
381,2020-1-17,cloudy,10°,0°
382,2020-1-18,cloudy,7°,2°
383,2020-1-19,cloudy,5°,-1°
384,2020-1-20,mostly sunny,7°,0°
385,2020-1-21,mostly sunny,4°,-3°
386,2020-1-22,foggy,-1°,-2°
387,2020-1-23,cloudy,1°,-2°
388,2020-1-24,foggy,5°,-3°
389,2020-1-25,foggy,6°,-2°
390,2020-1-26,foggy,5°,-1°
391,2020-1-27,cloudy,10°,1°
392,2020-1-28,scattered showers,9°,4°
393,2020-1-29,cloudy,8°,4°
394,2020-1-30,cloudy,11°,3°
395,2020-1-31,cloudy,16°,10°
396,2020-2-1,cloudy,14°,11°
397,2020-2-2,cloudy,16°,10°
398,2020-2-3,scattered showers,17°,9°
399,2020-2-4,scattered showers,17°,4°
400,2020-2-5,mostly sunny,9°,-1°
401,2020-2-6,mostly sunny,8°,-3°
402,2020-2-7,foggy,2°,-3°
403,2020-2-8,foggy,11°,-4°
404,2020-2-9,mostly sunny,14°,2°
405,2020-2-10,mostly cloudy,15°,9°
406,2020-2-11,mostly cloudy,10°,4°
407,2020-2-12,cloudy,10°,3°
408,2020-2-13,mostly sunny,10°,0°
409,2020-2-14,cloudy,11°,3°
410,2020-2-15,mostly sunny,13°,0°
411,2020-2-16,mostly sunny,20°,9°
412,2020-2-17,cloudy,17°,7°
413,2020-2-18,cloudy,9°,5°
414,2020-2-19,mostly cloudy,10°,3°
415,2020-2-20,cloudy,13°,5°
416,2020-2-21,mostly sunny,11°,2°
417,2020-2-22,mostly sunny,14°,-1°
418,2020-2-23,cloudy,16°,9°
419,2020-2-24,cloudy,17°,7°
420,2020-2-25,scattered showers,12°,5°
